date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2019-01-13,2018-19,Clausura,2,False,Santos Laguna,Monarcas Morelia,1.0,0.0,0.0,0.0,footballcsv
2019-01-18,2018-19,Clausura,3,False,Puebla,Santos Laguna,1.0,1.0,1.0,1.0,footballcsv
2019-01-18,2018-19,Clausura,3,False,Monarcas Morelia,Veracruz,2.0,0.0,0.0,0.0,footballcsv
2019-01-19,2018-19,Clausura,3,False,Tigres UANL,Cruz Azul,0.0,1.0,0.0,1.0,footballcsv
2019-01-19,2018-19,Clausura,3,False,Querétaro,Monterrey,1.0,2.0,1.0,0.0,footballcsv
2019-01-19,2018-19,Clausura,3,False,América,Pachuca,3.0,0.0,1.0,0.0,footballcsv
2019-01-20,2018-19,Clausura,3,False,Pumas UNAM,Atlas,2.0,2.0,2.0,0.0,footballcsv
2019-01-20,2018-19,Clausura,3,False,Lobos BUAP,Necaxa,2.0,3.0,2.0,1.0,footballcsv
2019-01-20,2018-19,Clausura,3,False,Guadalajara,Toluca,1.0,0.0,0.0,0.0,footballcsv
2019-01-20,2018-19,Clausura,3,False,León,Tijuana,0.0,1.0,0.0,1.0,footballcsv
2019-01-25,2018-19,Clausura,4,False,Veracruz,Puebla,0.0,1.0,0.0,1.0,footballcsv
2019-01-25,2018-19,Clausura,4,False,Atlas,Lobos BUAP,3.0,1.0,1.0,0.0,footballcsv
2019-01-26,2018-19,Clausura,4,False,Necaxa,Monarcas Morelia,0.0,0.0,0.0,0.0,footballcsv
2019-01-26,2018-19,Clausura,4,False,Cruz Azul,Tijuana,1.0,0.0,1.0,0.0,footballcsv
2019-01-26,2018-19,Clausura,4,False,Monterrey,América,3.0,2.0,1.0,1.0,footballcsv
2019-01-26,2018-19,Clausura,4,False,Pachuca,Pumas UNAM,1.0,0.0,0.0,0.0,footballcsv
2019-01-27,2018-19,Clausura,4,False,Toluca,Tigres UANL,0.0,1.0,0.0,1.0,footballcsv
2019-01-27,2018-19,Clausura,4,False,Querétaro,León,0.0,4.0,0.0,3.0,footballcsv
2019-01-27,2018-19,Clausura,4,False,Santos Laguna,Guadalajara,1.0,0.0,1.0,0.0,footballcsv
2019-02-01,2018-19,Clausura,5,False,Puebla,Necaxa,1.0,4.0,1.0,2.0,footballcsv
2019-02-01,2018-19,Clausura,5,False,Monarcas Morelia,Atlas,1.0,2.0,0.0,0.0,footballcsv
2019-02-02,2018-19,Clausura,5,False,Tijuana,Toluca,2.0,0.0,1.0,0.0,footballcsv
2019-02-02,2018-19,Clausura,5,False,América,Querétaro,2.0,0.0,1.0,0.0,footballcsv
2019-02-02,2018-19,Clausura,5,False,León,Cruz Azul,2.0,0.0,2.0,0.0,footballcsv
2019-02-02,2018-19,Clausura,5,False,Tigres UANL,Santos Laguna,2.0,1.0,1.0,1.0,footballcsv
2019-02-03,2018-19,Clausura,5,False,Pumas UNAM,Monterrey,1.0,1.0,0.0,1.0,footballcsv
