date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-10-28,2018-19,Apertura,14,False,Club León,Puebla FC,0.0,4.0,0.0,2.0,footballcsv,León,Puebla
2018-10-28,2018-19,Apertura,14,False,Deportivo Toluca,Gallos Blancos,4.0,0.0,1.0,0.0,footballcsv,Toluca,Querétaro
2018-11-02,2018-19,Apertura,15,False,Monarcas Morelia,UANL Tigres,0.0,2.0,0.0,0.0,footballcsv,Monarcas Morelia,Tigres UANL
2018-11-02,2018-19,Apertura,15,False,Puebla FC,Deportivo Guadalajara,2.0,2.0,0.0,2.0,footballcsv,Puebla,Guadalajara
2018-11-03,2018-19,Apertura,15,False,CF Pachuca,Club Necaxa,6.0,2.0,3.0,0.0,footballcsv,Pachuca,Necaxa
2018-11-03,2018-19,Apertura,15,False,Lobos BUAP,Club Tijuana,3.0,1.0,1.0,0.0,footballcsv,Lobos BUAP,Tijuana
2018-11-03,2018-19,Apertura,15,False,CF América,Deportivo Toluca,1.0,1.0,1.0,1.0,footballcsv,América,Toluca
2018-11-03,2018-19,Apertura,15,False,CF Monterrey,CD Veracruz,2.0,0.0,1.0,0.0,footballcsv,Monterrey,Veracruz
2018-11-04,2018-19,Apertura,15,False,Pumas UNAM,Cruz Azul,1.0,2.0,0.0,1.0,footballcsv,Pumas UNAM,Cruz Azul
2018-11-04,2018-19,Apertura,15,False,Gallos Blancos,Santos Laguna,2.0,1.0,1.0,0.0,footballcsv,Querétaro,Santos Laguna
2018-11-04,2018-19,Apertura,15,False,Atlas Guadalajara,Club León,0.0,0.0,0.0,0.0,footballcsv,Atlas,León
2018-11-09,2018-19,Apertura,16,False,Atlas Guadalajara,CF Pachuca,0.0,0.0,0.0,0.0,footballcsv,Atlas,Pachuca
2018-11-09,2018-19,Apertura,16,False,CD Veracruz,Gallos Blancos,2.0,2.0,2.0,0.0,footballcsv,Veracruz,Querétaro
2018-11-10,2018-19,Apertura,16,False,Club Necaxa,CF Monterrey,1.0,1.0,0.0,1.0,footballcsv,Necaxa,Monterrey
2018-11-10,2018-19,Apertura,16,False,UANL Tigres,Puebla FC,6.0,1.0,4.0,1.0,footballcsv,Tigres UANL,Puebla
2018-11-10,2018-19,Apertura,16,False,Club Tijuana,Monarcas Morelia,2.0,3.0,0.0,1.0,footballcsv,Tijuana,Monarcas Morelia
